aphia_id,Kingdom,Class,Order,Family,Genus,Species,Phylum,highest_classification
156737,Animalia,Bivalvia,Pectinida,Anomiidae,Anomia,Anomia simplex,Mollusca,species
151267,Animalia,Gastropoda,Trochida,Phasianellidae,NA,NA,Mollusca,family
151177,Animalia,Teleostei,Eupercaria incertae sedis,Moronidae,Morone,Morone americana,Chordata,species
151158,Animalia,Teleostei,Eupercaria incertae sedis,Sciaenidae,Micropogonias,Micropogonias undulatus,Chordata,species
149668,Animalia,Malacostraca,Mysida,NA,NA,NA,Arthropoda,order
145930,Plantae,Ulvophyceae,Ulotrichales,Ulotrichaceae,Ulothrix,Ulothrix speciosa,NA,species
145793,Plantae,Magnoliopsida,Alismatales,Cymodoceaceae,Cymodocea,Cymodocea nodosa,NA,species
145713,Plantae,Magnoliopsida,Alismatales,Hydrocharitaceae,Halophila,Halophila decipiens,NA,species
145635,Plantae,Florideophyceae,Gigartinales,Cystocloniaceae,Hypnea,Hypnea spinella,NA,species
145634,Plantae,Florideophyceae,Gigartinales,Cystocloniaceae,Hypnea,Hypnea musciformis,NA,species
144482,Plantae,Ulvophyceae,Bryopsidales,Halimedaceae,Halimeda,Halimeda opuntia,NA,species
144474,Plantae,Ulvophyceae,Bryopsidales,Caulerpaceae,Caulerpa,Caulerpa sertularioides,NA,species
144188,Plantae,Florideophyceae,Gracilariales,Gracilariaceae,Gracilaria,NA,NA,genus
144086,Chromista,Phaeophyceae,Dictyotales,Dictyotaceae,Dictyota,NA,Ochrophyta,genus
143820,Plantae,Ulvophyceae,Bryopsidales,Halimedaceae,Halimeda,NA,NA,genus
143816,Plantae,Ulvophyceae,Bryopsidales,Caulerpaceae,Caulerpa,NA,NA,genus
140657,Animalia,Bivalvia,Ostreida,Ostreidae,Crassostrea,Crassostrea virginica,Mollusca,species
140570,Animalia,Gastropoda,Cycloneritida,Neritidae,Smaragdia,Smaragdia viridis,Mollusca,species
138940,Animalia,Gastropoda,Cephalaspidea,Bullidae,Bulla,Bulla striata,Mollusca,species
138650,Animalia,Gastropoda,Littorinimorpha,Vermetidae,Petaloconchus,NA,Mollusca,genus
137722,Animalia,Gastropoda,Littorinimorpha,Calyptraeidae,Crepidula,NA,Mollusca,genus
136999,Animalia,NA,Testudines,Cheloniidae,NA,NA,Chordata,family
136025,Animalia,NA,Sipuncula,Golfingiidae,Phascolion,NA,Annelida,genus
135295,Animalia,Scyphozoa,Rhizostomeae,Cassiopeidae,Cassiopea,Cassiopea andromeda,Cnidaria,species
132251,Animalia,Calcarea,Leucosolenida,Syconidae,Sycon,Sycon ciliatum,Porifera,species
131868,Animalia,Demospongiae,Poecilosclerida,Microcionidae,Clathria,NA,Porifera,genus
131143,Animalia,Polychaeta,Spionida,Spionidae,Polydora,Polydora cornuta,Annelida,species
131001,Animalia,Polychaeta,Sabellida,Serpulidae,Hydroides,Hydroides dirampha,Annelida,species
131000,Animalia,Polychaeta,Sabellida,Serpulidae,Hydroides,Hydroides dianthus,Annelida,species
130372,Animalia,Polychaeta,Phyllodocida,Nereididae,Ceratonereis,Ceratonereis mirabilis,Annelida,species
129620,Animalia,Polychaeta,Spionida,Spionidae,Prionospio,NA,Annelida,genus
129566,Animalia,Polychaeta,Sabellida,Serpulidae,Hydroides,NA,Annelida,genus
129245,Animalia,Polychaeta,Terebellida,Cirratulidae,Cirriformia,NA,Annelida,genus
129211,Animalia,Polychaeta,NA,Capitellidae,Capitella,NA,Annelida,genus
127416,Animalia,Teleostei,Tetraodontiformes,Tetraodontidae,Sphoeroides,Sphoeroides marmoratus,Chordata,species
127066,Animalia,Teleostei,Eupercaria incertae sedis,Sparidae,Spondyliosoma,Spondyliosoma cantharus,Chordata,species
127060,Animalia,Teleostei,Eupercaria incertae sedis,Sparidae,Pagellus,Pagellus erythrinus,Chordata,species
126986,Animalia,Teleostei,Mulliformes,Mullidae,Mullus,Mullus surmuletus,Chordata,species
126971,Animalia,Teleostei,Eupercaria incertae sedis,Labridae,Xyrichtys,Xyrichtys novacula,Chordata,species
126288,Animalia,Teleostei,Anguilliformes,Congridae,Heteroconger,Heteroconger longissimus,Chordata,species
126224,Animalia,Teleostei,Syngnathiformes,Syngnathidae,Hippocampus,NA,Chordata,genus
125726,Animalia,Teleostei,Elopiformes,Megalopidae,Megalops,NA,Chordata,genus
125464,Animalia,Teleostei,Clupeiformes,Clupeidae,NA,NA,Chordata,family
123856,Animalia,Asteroidea,Paxillosida,Astropectinidae,Astropecten,Astropecten aranciacus,Echinodermata,species
123456,Animalia,Holothuroidea,Holothuriida,Holothuriidae,Holothuria,NA,Echinodermata,genus
111795,Animalia,NA,NA,Barentsiidae,Barentsia,NA,Entoprocta,genus
111673,Animalia,Gymnolaemata,Ctenostomatida,Victorellidae,Victorella,Victorella pavida,Bryozoa,species
111663,Animalia,Gymnolaemata,Ctenostomatida,Vesiculariidae,Amathia,Amathia vidovici,Bryozoa,species
111636,Animalia,Gymnolaemata,Ctenostomatida,Nolellidae,Nolella,Nolella stipata,Bryozoa,species
111592,Animalia,Gymnolaemata,Cheilostomatida,Watersiporidae,Watersipora,Watersipora subtorquata,Bryozoa,species
111512,Animalia,Gymnolaemata,Cheilostomatida,Savignyellidae,Savignyella,Savignyella lafontii,Bryozoa,species
111389,Animalia,Gymnolaemata,Cheilostomatida,Hippopodinidae,Hippopodina,Hippopodina feegeensis,Bryozoa,species
111158,Animalia,Gymnolaemata,Cheilostomatida,Bugulidae,Bugula,Bugula neritina,Bryozoa,species
107414,Animalia,Malacostraca,Decapoda,Panopeidae,Rhithropanopeus,Rhithropanopeus harrisii,Arthropoda,species
107335,Animalia,Malacostraca,Decapoda,Epialtidae,Libinia,Libinia dubia,Arthropoda,species
107272,Animalia,Malacostraca,Decapoda,Calappidae,Cryptosoma,Cryptosoma cristatum,Arthropoda,species
107032,Animalia,Malacostraca,Decapoda,Palaemonidae,Palaemon,NA,Arthropoda,genus
106921,Animalia,Malacostraca,Decapoda,Portunidae,Callinectes,NA,Arthropoda,genus
106906,Animalia,Malacostraca,Decapoda,Epialtidae,Libinia,NA,Arthropoda,genus
106844,Animalia,Malacostraca,Decapoda,Diogenidae,Paguristes,NA,Arthropoda,genus
106674,Animalia,Malacostraca,Decapoda,NA,NA,NA,Arthropoda,order
106223,Animalia,Thecostraca,Balanomorpha,Balanidae,Balanus,Balanus trigonus,Arthropoda,species
103936,Animalia,Ascidiacea,Stolidobranchia,Styelidae,Styela,Styela plicata,Chordata,species
103926,Animalia,Ascidiacea,Stolidobranchia,Styelidae,Styela,Styela canopus,Chordata,species
103895,Animalia,Ascidiacea,Stolidobranchia,Styelidae,Polyandrocarpa,Polyandrocarpa zorritensis,Chordata,species
103838,Animalia,Ascidiacea,Stolidobranchia,Pyuridae,Microcosmus,Microcosmus exasperatus,Chordata,species
103830,Animalia,Ascidiacea,Stolidobranchia,Pyuridae,Herdmania,Herdmania momus,Chordata,species
103788,Animalia,Ascidiacea,Stolidobranchia,Molgulidae,Molgula,Molgula manhattensis,Chordata,species
103761,Animalia,Ascidiacea,Phlebobranchia,Perophoridae,Perophora,Perophora viridis,Chordata,species
103756,Animalia,Ascidiacea,Phlebobranchia,Perophoridae,Ecteinascidia,Ecteinascidia turbinata,Chordata,species
103725,Animalia,Ascidiacea,Phlebobranchia,Ascidiidae,Phallusia,Phallusia nigra,Chordata,species
