scientific_name,taxonomic_id,id_type
Distichlis spicata,1433670,Aphia ID
Spartina patens,395045,Aphia ID
Parthenocissus quinquefolia,418650,Aphia ID
Ilex,415505,Aphia ID
Solidago,415991,Aphia ID
Solidago sempervirens,418790,Aphia ID
Panicum virgatum,418816,Aphia ID
Convolvulus arvensis,NA,NA
Atriplex patula,NA,NA
Schoenoplectus robustus,NA,NA
Polygonum hydropiperoides,NA,NA
Juniperus virginiana,1492694,Aphia ID
Iva frutescens,418784,Aphia ID
Kosteletzkya virginica,418730,Aphia ID
Morone americana,151177,Aphia ID
Fundulus majalis,159308,Aphia ID
Menidia menidia,159228,Aphia ID
Esox niger,888530,Aphia ID
Menidia beryllina,159227,Aphia ID
Leiostomus xanthurus,159322,Aphia ID
Anchoa mitchilli,158699,Aphia ID
Micropogonias undulatus,151158,Aphia ID
Syngnathus fuscus,159451,Aphia ID
Fundulus heteroclitus,159306,Aphia ID
Zannichellia palustris,416222,Aphia ID
