protocol,database_table,level,dataset,table,column_name,data_type,version
Seagrass Monitoring,seagrass_monitoring_l2_standardized_epifauna_data,2,standardized,epifauna-data,quadrat,INT,1
Seagrass Monitoring,seagrass_monitoring_l2_standardized_epifauna_data,2,standardized,epifauna-data,sample_collection_date,DATE,1
Seagrass Monitoring,seagrass_monitoring_l2_standardized_epifauna_data,2,standardized,epifauna-data,scientific_name,STRING,1
Seagrass Monitoring,seagrass_monitoring_l2_standardized_epifauna_data,2,standardized,epifauna-data,taxonomic_id,STRING,1
Seagrass Monitoring,seagrass_monitoring_l2_standardized_epifauna_data,2,standardized,epifauna-data,epifauna_id,STRING,1
Seagrass Monitoring,seagrass_monitoring_l2_standardized_epifauna_data,2,standardized,epifauna-data,size_class,STRING,1
Seagrass Monitoring,seagrass_monitoring_l2_standardized_epifauna_data,2,standardized,epifauna-data,count,INT,1
Seagrass Monitoring,seagrass_monitoring_l2_standardized_epifauna_data,2,standardized,epifauna-data,epifauna_notes,STRING,1
Seagrass Monitoring,seagrass_monitoring_l2_metadata,2,standardized,seagrass-metadata,sample_event_id,STRING,1
Seagrass Monitoring,seagrass_monitoring_l2_metadata,2,standardized,seagrass-metadata,observatory_code,STRING,1
Seagrass Monitoring,seagrass_monitoring_l2_metadata,2,standardized,seagrass-metadata,location_name,STRING,1
Seagrass Monitoring,seagrass_monitoring_l2_metadata,2,standardized,seagrass-metadata,transect,TINYINT,1
Seagrass Monitoring,seagrass_monitoring_l2_metadata,2,standardized,seagrass-metadata,sample_collection_date,DATE,1
Seagrass Monitoring,seagrass_monitoring_l2_metadata,2,standardized,seagrass-metadata,transect_begin_decimal_latitude,DOUBLE,1
Seagrass Monitoring,seagrass_monitoring_l2_metadata,2,standardized,seagrass-metadata,transect_begin_decimal_longitude,DOUBLE,1
Seagrass Monitoring,seagrass_monitoring_l2_metadata,2,standardized,seagrass-metadata,transect_end_decimal_latitude,DOUBLE,1
Seagrass Monitoring,seagrass_monitoring_l2_metadata,2,standardized,seagrass-metadata,transect_end_decimal_longitude,DOUBLE,1
Seagrass Monitoring,seagrass_monitoring_l2_metadata,2,standardized,seagrass-metadata,depth_min_m,DOUBLE,1
Seagrass Monitoring,seagrass_monitoring_l2_metadata,2,standardized,seagrass-metadata,depth_max_m,DOUBLE,1
Seagrass Monitoring,seagrass_monitoring_l2_metadata,2,standardized,seagrass-metadata,epifauna_mesh_bag_length,DOUBLE,1
Seagrass Monitoring,seagrass_monitoring_l2_metadata,2,standardized,seagrass-metadata,epifauna_mesh_bag_width,DOUBLE,1
Seagrass Monitoring,seagrass_monitoring_l2_metadata,2,standardized,seagrass-metadata,epifauna_mesh_size,DOUBLE,1
Seagrass Monitoring,seagrass_monitoring_l2_metadata,2,standardized,seagrass-metadata,sample_metadata_notes,STRING,1
